actual,prediction,prediction_corrected
Xpx4Y,Xpxx4YY,Xpx4Y
oW2M,oW2MM--,oW2M
7Jlt7,7Jltt77,7Jlt7
HhntgT,HhntggT,HhntgT
s2LJkH,s2LJkkH,s2LJkH
4PKi,4PKKi--,4PKi
axl3p,axl33pp,axl3p
Om0ez5j,Om0ez5j,Om0ez5j
hD0Ee,hD00Eee,hD0Ee
FOTDA,FOTDAAA,FOTDA
lNBB,lNB----,lNB
ExrWKi,ExrWKKi,ExrWKi
ENSXw71,ENSXw71,ENSXw71
aKavB,aKaavBB,aKavB
KfqPZx,KfqPPZx,KfqPZx
IYHuBo,IYHuuBo,IYHuBo
aS1xAe,aS1xxAe,aS1xAe
7kxjVUr,7kxjVUr,7kxjVUr
ukDa5,ukDDa55,ukDa5
2BkR0,2BkRR00,2BkR0
8IJ2GY,8IJ2GGY,8IJ2GY
Szdxhk,Szdxxhk,Szdxhk
6VvLPG,6VvLPPG,6VvLPG
p8z4,p8zz4--,p8z4
oPvxgq,oPvxxgq,oPvxgq
or6Lct9,or6Lct9,or6Lct9
xZaIQ,xZaaIQQ,xZaIQ
E3HxMtg,E33xMtg,E3xMtg
FSbHXgh,FSbHXgh,FSbHXgh
GnTA,GnTTA--,GnTA
cEdAp,cEdAApp,cEdAp
iMiWZEq,iiiWZZq,iWZq
dw9KPAA,dddRRRR,dR
7NMU,7NMMU--,7NMU
YrZjKV,YrZjKKV,YrZjKV
2kUDoM,2kUDooM,2kUDoM
QO1c,QO1cc--,QO1c
umZ6ziX,umZ6ziX,umZ6ziX
th6kE3,th6kEE3,th6kE3
K4Qvyr,K4Qvyyr,K4Qvyr
WjxeeM,WjXeeeM,WjXeM
mBB9SNC,mRRRSRC,mRSRC
NzvOd0,NzvOdd0,NzvOd0
lhgD,lhggD--,lhgD
8PvX,8PvvX--,8PvX
JvEUND5,JvEUND5,JvEUND5
niRif,niiiiff,nif
gNpOG,gNpOOGG,gNpOG
KawGFXB,KawGFXB,KawGFXB
BjQI,BjQII--,BjQI
atAn,atAAn--,atAn
Tsj9oZ,Ts999oZ,Ts9oZ
uKl0,uKl00--,uKl0
17SrkM,17SrrkM,17SrkM
vGwAr,vGwAArr,vGwAr
kiXe,kiXXe--,kiXe
xlwzoBk,xlwzoBB,xlwzoB
UuKcFD,UuKccFD,UuKcFD
3fJ9ZRS,3fJ9ZRS,3fJ9ZRS
wMUM,wMUMM--,wMUM
f6xb,f6xxb--,f6xb
x346WrQ,x346WrQ,x346WrQ
LyTcPSQ,LyTcPSQ,LyTcPSQ
9K5sr,9K5ssrr,9K5sr
GLwT2Q8,GLwT2Q8,GLwT2Q8
O9bWhx,O9bWWhx,O9bWhx
Nthq5w,Nthq55w,Nthq5w
eLu7A,eLuu7AA,eLu7A
q9hI,q9hII--,q9hI
dKoE,dKooE--,dKoE
LKiT,LKii---,LKi
zhPE9pi,zhPE9pi,zhPE9pi
myWwuu,myWwuuu,myWwu
4jd7t,4jd77tt,4jd7t
51r1Qf,51r1QQf,51r1Qf
FEvYVfB,FEvYVfB,FEvYVfB
2EPm,2EPPm--,2EPm
v3qT,v3qq---,v3q
aoDPW,aoDPPWW,aoDPW
1f4y,1f44y--,1f4y
BCVMA,BCVMMAA,BCVMA
gxxMMb,RxRRRRb,RxRb
Qzyf,Qzyyf--,Qzyf
T8m9Ek9,T8m9999,T8m9
1Krt,1Krrt--,1Krt
7GQIxBe,7GQIxBe,7GQIxBe
SWPiJ,SWPiiJJ,SWPiJ
PjJ77sn,PjjjRRn,PjRn
Kh5Qd,Kh55Qdd,Kh5Qd
h3XgEis,h3XgEis,h3XgEis
2Rk3e0,2RR33e0,2R3e0
TEIZ,TEII---,TEI
j2TJNW2,j2TJNWW,j2TJNW
qnrZ,qnrrZ--,qnrZ
vX2pyt,vX2pyyt,vX2pyt
wIuoe,wIuuoee,wIuoe
OvWgF,OvWggFF,OvWgF
NQu4,NQuu4--,NQu4
0PHHKLq,ORRRRRR,OR
41TVc,41TVVcc,41TVc
vNimIh1,vNimIh1,vNimIh1
wV7wL,wV7wwLL,wV7wL
9jPW,9jPPW--,9jPW
AT4HIi,AT4HIIi,AT4HIi
QJCJAer,QJJJJer,QJer
qhk2D,qhk22DD,qhk2D
EXzFtm,EXzFFtm,EXzFtm
0YDu,0YDuu--,0YDu
WYUp,WYUUp--,WYUp
nB2w,nB2ww--,nB2w
qMdLf,qMdLLff,qMdLf
A9clz,A9cllzz,A9clz
KvX9z1,KvX9zz1,KvX9z1
AXFZd,AXFZZdd,AXFZd
Xnjwc7I,Xnjwc7I,Xnjwc7I
Q3YwM5,Q3YwwM5,Q3YwM5
2qeP,2qeeP--,2qeP
DgDKs,DgDKKss,DgDKs
BQzsI,BQzssII,BQzsI
50D0U8f,5000U8f,50U8f
vhgb4,vhgbb44,vhgb4
8lYcH3,8lYcHH3,8lYcH3
mncLOr,mncLLOr,mncLOr
f0zs,f0zzs--,f0zs
EEAm41p,ERRRRpp,ERp
Z6Ks,Z6Kss--,Z6Ks
KSZX,KSZZX--,KSZX
aS68wIP,aS68wIP,aS68wIP
P8LwYx,P8LwwYx,P8LwYx
hEYdPNu,hEYdPNu,hEYdPNu
AVVc,AVV-c--,AVc
wmzoG,wmzooGG,wmzoG
xBpZ,xBppZ--,xBpZ
uj0AAq9,ujjRRR9,ujR9
h2hmd,hhhhmdd,hmd
dyC3,dyCC3--,dyC3
2sIJe,2sIJJee,2sIJe
sQZB,sQZBB--,sQZB
ASI3L,ASI33LL,ASI3L
NzQJvqk,NzQJvqk,NzQJvqk
xCCOQuc,XRRRRRR,XR
LW4r,LW44r--,LW4r
zEllA,zElllAA,zElA
CPtLG,CPtLLGG,CPtLG
8UTb7,8UTbb77,8UTb7
A0Q0,A0QQ0--,A0Q0
PUL08,PUL0088,PUL08
OaGHg3T,OaGHg3T,OaGHg3T
OZFj,OZFjj--,OZFj
gzn9N,gzn99NN,gzn9N
CC2Z,CC-2Z--,C2Z
Sp1T,Sp11T--,Sp1T
30m3mV,33m3mmV,3m3mV
sdxMh8,sdXMMh8,sdXMh8
QQte8Y,QQQe88Y,Qe8Y
5X0L,5X0LL--,5X0L
MulDlU,MullllU,MulU
MCvE,MCvvE--,MCvE
fphy5,fphyy55,fphy5
gQ5Tq,gQ5TTqq,gQ5Tq
7V5wP,7V5wwwP,7V5wP
Dl3jx,Dl3jjxx,Dl3jx
RSzU,RSzzU--,RSzU
JfRW,JfRWW--,JfRW
D4GhB,D4GGBBB,D4GB
YiUJo,YiJJJoo,YiJo
KiBsz4,KiBssz4,KiBsz4
lfBu,lfBBu--,lfBu
WLyAi,WLyAiii,WLyAi
iJniO,iJniiOO,iJniO
4QasGI,4QassGI,4QasGI
giS90,giS9900,giS90
NVBTgTK,NVBTTTK,NVBTK
HUHL,HHHLL--,HL
4PQ9zaV,4PQ9zaa,4PQ9za
S0SZpp,SSSZppp,SZp
CXW8,CXWW8--,CXW8
lVC6wO,lVC6wwO,lVC6wO
Yn7y32,Yn7y332,Yn7y32
QoxRd,QoxRRdd,QoxRd
YAdZrf,YAdZrrf,YAdZrf
uFFFwDa,RRRRRDa,RDa
RpJr,RpJJr--,RpJr
Gg8LA,Gg8LLAA,Gg8LA
alHs,alHss--,alHs
mlMo,mlMMo--,mlMo
kcqAC,kcqqACC,kcqAC
IMGH,IMGGH--,IMGH
D1mT,D1mmT--,D1mT
fkFS7e,fkFSS7e,fkFS7e
kLQ5Qbn,kLQQQbn,kLQbn
i5VVfF,i5VVVfF,i5VfF
t7Pjl,t7Pjjll,t7Pjl
Kahp,Kahhp--,Kahp
lzoV9,lzoVV99,lzoV9
RG7oft,RG7offt,RG7oft
5H1G2Zh,5H1G2Zh,5H1G2Zh
pSSMGnV,pSSnnnV,pSnV
Zcwk8,Zcwkk88,Zcwk8
ok5oR6B,ok5oR6B,ok5oR6B
bGvDX,bGvvDXX,bGvDX
45jTwQ,45jTTwQ,45jTwQ
e9AS,e9ASS--,e9AS
Vszoh,Vszoohh,Vszoh
vsQrCJd,vsQrCJd,vsQrCJd
52lh,52ll---,52l
wOxuxI4,wOxxxI4,wOxI4
DqGtK,DqGGtKK,DqGtK
7ALmrx,7ALmmrx,7ALmrx
y23w,y233w--,y23w
udRYuXd,udRYuXd,udRYuXd
YSqPAz,YSqPPAz,YSqPAz
1pIAfZM,1pIAfZM,1pIAfZM
B0DPcNp,B0DPcNp,B0DPcNp
iD4i,iD4ii--,iD4i
0ylRXJ3,0ylRRJ3,0ylRJ3
viBmc,viBmmcc,viBmc
T0ARO4H,T0ARO4H,T0ARO4H
1lcfl8,1lcfll8,1lcfl8
XABo,XABBo--,XABo
DSqH7aX,SSqH7aa,SqH7a
Vv1CXbx,Vv1CCbx,Vv1Cbx
bDMe,bDMM---,bDM
crR0zz,crR0zzz,crR0z
9DwVz,9DwVVzz,9DwVz
DcyjrM,DcyjjrM,DcyjrM
qGFRqK,qGFRqqK,qGFRqK
3XnYkQ,3XnYYkQ,3XnYkQ
SUs940h,SUs940h,SUs940h
PrRiUX,PrRiiUX,PrRiUX
NWLX,NWLLX--,NWLX
V3KPOgP,V3KPOPP,V3KPOP
ZHTqgf1,ZZTqgf1,ZTqgf1
ryHU,ryHHU--,ryHU
LnYuo,LnYuuoo,LnYuo
uFJW,uFJJW--,uFJW
X475g2X,X475g2X,X475g2X
qADUm,qADUUmm,qADUm
HXlyLPs,HXlyLPs,HXlyLPs
EYry,EYrry--,EYry
9WgO5,9WgOO55,9WgO5
nIE0Q72,nII0Q72,nI0Q72
EtTSJx,EtTSSJx,EtTSJx
nmg0q,nmg00qq,nmg0q
MQCXUM3,MQCXUM3,MQCXUM3
zjyaBM,zjaaBBM,zjaBM
JIxu,JIxxu--,JIxu
gIaU21o,gIaa21o,gIa21o
WX5z,WX55z--,WX5z
qcWLsFR,qcWLsFR,qcWLsFR
dINLnU,dINLLnU,dINLnU
v1Ac1f8,v1Ac1f8,v1Ac1f8
CgU9,CgU99--,CgU9
wK6z9b,wK6zz9b,wK6z9b
jdAX,jdAAX--,jdAX
V97sFyk,V97sFyk,V97sFyk
qUNZx,qUNZZxx,qUNZx
J78BPau,J78BPau,J78BPau
7Datn8,7Dattn8,7Datn8
C1FP5IH,C1FP5IH,C1FP5IH
epiAxXT,epiAAxT,epiAxT
yfN23,yfN2233,yfN23
RXEG,RXEGG--,RXEG
M1RXZ,M1RXZZZ,M1RXZ
ym8Pi,ym8PPii,ym8Pi
t1bXc,t1bbXcc,t1bXc
2qzd5Vc,2qzd5Vc,2qzd5Vc
dIsB,dIssB--,dIsB
cxEqZ3,cxEqqZ3,cxEqZ3
2izWYTd,2izWYTd,2izWYTd
sfeX,sfeeX--,sfeX
5db2UUd,5dRRRRR,5dR
iNY6M,iNY66MM,iNY6M
guSqT,guSqqTT,guSqT
3DkBV9,3DkBBV9,3DkBV9
QCyXh,QCyXXhh,QCyXh
lEuk,lEuuk--,lEuk
yZOo,yZOoo--,yZOo
wiJVA9I,wiJVA9I,wiJVA9I
0ClvxLf,0ClvxLf,0ClvxLf
JveFlO,JveFllO,JveFlO
44AfNWy,SRRNNyy,SRNy
xF5DiW8,xF5DiW8,xF5DiW8
hMEa,hMEaa--,hMEa
601fu,601ffuu,601fu
QRbw,QRbbw--,QRbw
O7Nf,O7NNf--,O7Nf
qnW3,qnW33--,qnW3
SBCAl,SBCAAll,SBCAl
Y50oY,Y50ooYY,Y50oY
Uj3h,Uj33h--,Uj3h
ZZRFg,ZZZFFgg,ZFg
IEyOQ,IEyOOQQ,IEyOQ
NUTAmW,NUTAmmW,NUTAmW
GZfdZ,GZffZZZ,GZfZ
SvkVs,SvkVVss,SvkVs
MCXk,MCXkk--,MCXk
DuxL8ud,DuxL8ud,DuxL8ud
EqUMh,EqUMMhh,EqUMh
rjdQw1,rjdQww1,rjdQw1
KkzD,KkzzD--,KkzD
NPAsrH,NPAssrH,NPAsrH
O155Zz0,00RRRS0,0RS0
4LM5,4LM55--,4LM5
oiFD,oiFF---,oiF
FpcjO,FpcjjOO,FpcjO
9jLBs2c,9jLBs2c,9jLBs2c
DpeesB,Dpe-esB,DpeesB
QrGVAJO,QrGVAJO,QrGVAJO
LGH88m,LGH8-8m,LGH88m
4cc4,4ccc4--,4c4
tMY9,tMYY9--,tMY9
gGsi,gGsii--,gGsi
ZElqjh4,ZElqjh4,ZElqjh4
h1FFL,h1FFFLL,h1FL
A20w,A20ww--,A20w
DNqpRQU,DNqppQU,DNqpQU
szzPJ,szzzJJJ,szJ
zjqIqP,zjqIqqP,zjqIqP
VT8c,VT88c--,VT8c
0QzFmc,0QzFFmc,0QzFmc
0UYsfrG,0UYsfrG,0UYsfrG
Byy9O,By-99OO,By9O
u3XCybJ,u3XCybJ,u3XCybJ
CGZY,CGZZY--,CGZY
QRilF,QRillFF,QRilF
CeuqRtc,CeuqRtc,CeuqRtc
TQPParV,TRRSrrr,TRSr
09Wa2P,99Waa2P,9Wa2P
2mxEP,2mxEEPP,2mxEP
WWMyJ,W-MMyJJ,WMyJ
twNC8jE,twNC8jE,twNC8jE
5nKXY,5nKKXYY,5nKXY
YAt6YAc,YAt6YAc,YAt6YAc
AIuFa,AIuFFaa,AIuFa
ARu26,ARuu266,ARu26
5GcM,5Gc----,5Gc
XGhlXD,XGhlXXD,XGhlXD
ojkO0,ojkOO00,ojkO0
mYbftEW,mYbfttW,mYbftW
ACRVP,ACRVVPP,ACRVP
Bcsus15,Bcsss15,Bcs15
i4PJdI8,i4PJdI8,i4PJdI8
Hw1C,Hw11C--,Hw1C
OIIOx,OIIIxxx,OIx
XAjxuw,XAjxxuw,XAjxuw
YhOp,YhOpp--,YhOp
l8mT,l8mm---,l8m
FExahtT,FExahtT,FExahtT
Hs2krOR,Hs2krOR,Hs2krOR
knlm8,knlmm88,knlm8
CQw7D6,CQw7DD6,CQw7D6
0y4sB8,0y4ssB8,0y4sB8
7oqiO,7oqiiOO,7oqiO
3F2nM,3F2nnMM,3F2nM
TPH5,TPH55--,TPH5
uxEu,uxEuu--,uxEu
hCM9UM,hCM99UM,hCM9UM
tjh8,tjhh8--,tjh8
NTyCTF,NTyCCTF,NTyCTF
AeLx,AeLLx--,AeLx
tseA,tsseA--,tseA
yCN12yZ,yCN12yZ,yCN12yZ
SObJ,SObJJ--,SObJ
e4sUD,e4sUUDD,e4sUD
jBHGT8,jBHGGT8,jBHGT8
OtWmnh,OtWmmnh,OtWmnh
z4xtVV,z4xxVVV,z4xV
Vva22B,Vva222B,Vva2B
IVUpoq,IVUpooq,IVUpoq
B9DS9c,B9DS99c,B9DS9c
YNxc,YNXcc--,YNXc
DcsHVz4,DcsHVz4,DcsHVz4
7L9a,7L9aa--,7L9a
MLtZ,MLtZZ--,MLtZ
o3mvKQI,o3mmKQI,o3mKQI
kyl5,kyl55--,kyl5
wcoBG,wcoBBGG,wcoBG
s8MQ,s8MMQ--,s8MQ
OpVNBys,OpVNBys,OpVNBys
atArR,atArrRR,atArR
KruvIIF,KrRRRRR,KrR
q3oR,q3ooR--,q3oR
SFybls,SFybbls,SFybls
lBnQzuf,lBnQzuf,lBnQzuf
CwFrRa,CwFrrRa,CwFrRa
grCLAr,grCLLAr,grCLAr
qa0oRff,qa00Rff,qa0Rf
DbsVuv,DbsVuuv,DbsVuv
3P9j,3P9jj--,3P9j
fFv1,fFvv1--,fFv1
Du8ArDl,Du8ArDl,Du8ArDl
OwRYE,OwRYYEE,OwRYE
NeWDw,NeWWDww,NeWDw
KrQ7grG,KrQQggg,KrQg
VTkme,VTkmmee,VTkme
RrEZZ,RrEZZZZ,RrEZ
Xaq3nb,Xaq33nb,Xaq3nb
DPS70iV,DPS70iV,DPS70iV
iil8Q0J,iiiQQQJ,iQJ
J3R6SU,J3R6SSU,J3R6SU
jXIt,jXIIt--,jXIt
22ewAVL,2SSRRVR,2SRVR
UnTl,UnTT---,UnT
W49lc,W49lccc,W49lc
Pixpq7,Pixpqq7,Pixpq7
OdNYzW,OdNYYzW,OdNYzW
WqyQZsA,WqyQZsA,WqyQZsA
TLdN,TLdd---,TLd
u1toaKh,u1toaKK,u1toaK
YyNxTw,YyNxxTw,YyNxTw
x3rP,x3rrP--,x3rP
hvzn,hvzzn--,hvzn
sQ1TiLx,sQ1TiLx,sQ1TiLx
JU6vlfA,JU6vlfA,JU6vlfA
IPbhfQV,IPbhfQV,IPbhfQV
BGzC8,BGzCC88,BGzC8
x3My4,x3Myy44,x3My4
EGOsc,EGOsscc,EGOsc
RoYpMJx,RoYpMJx,RoYpMJx
f03kf,f03kkff,f03kf
QfTg,QfTTg--,QfTg
10nCCo,10nC-Co,10nCCo
1XSQoe,1XSQQee,1XSQe
kXcCN,kXcCCNN,kXcCN
tcC5,tcCC5--,tcC5
ziEyy,ziEyyyy,ziEy
eXKbzgD,eXKbzgD,eXKbzgD
kgNXH,kgNXXHH,kgNXH
N6NRoC,N6NRooC,N6NRoC
MT5U,MT55U--,MT5U
4hlvMTO,4hlvMTO,4hlvMTO
DF2L,DF22L--,DF2L
xXPYiW,xXPYiiW,xXPYiW
cMtk,cMtkk--,cMtk
1Hgq,1Hgqq--,1Hgq
hNbtwsF,hNttwsF,hNtwsF
5cytUfZ,5cytUfZ,5cytUfZ
nXy1,nXyy1--,nXy1
tNyIFM,tNyIFFM,tNyIFM
IdlwjB,IdlwwjB,IdlwjB
KDesnQy,KDesnQy,KDesnQy
sfVHWI,sfVHWWI,sfVHWI
AzJCzG3,AzJCzG3,AzJCzG3
St5hk,St55hkk,St5hk
vrfa,vrfaa--,vrfa
bz7OmGJ,bz7OmGJ,bz7OmGJ
wZUh4R,wZUh44R,wZUh4R
QAbHz,QAbbHzz,QAbHz
UGqk5T8,UGqk5T8,UGqk5T8
aIsQ,aIssQ--,aIsQ
aEMaBS,aEMaaBS,aEMaBS
HzKn0EY,HzKn0EY,HzKn0EY
u31yB,u31yyBB,u31yB
IFSZoO,IFSZZoO,IFSZoO
5ETC,5ETCC--,5ETC
yPXa,yPXaa--,yPXa
w4aVp,w4aaVpp,w4aVp
Zkcj0i7,Zkcjji7,Zkcji7
HtIOVJ,HtIIOJJ,HtIOJ
HeqlCgJ,HeqlCgJ,HeqlCgJ
dqWs,dqWs---,dqWs
zztJMFW,zMMMMMW,zMW
9EVqMvy,9EVqMvy,9EVqMvy
2rE4zPx,2rE4zPx,2rE4zPx
D6Yk28h,D6Yk28h,D6Yk28h
7yJPUuD,7yJPUuD,7yJPUuD
Ogvbt,Ogvbbtt,Ogvbt
SSbMVl,S--MMVl,SMVl
6eDD7X7,6RRRR77,6R7
yr0QDJ,yr0QQDJ,yr0QDJ
NkH1pa2,NkH1pa2,NkH1pa2
D792,D7992--,D792
M84joo3,MMjjjRR,MjR
qzW8t,qzW88tt,qzW8t
ZYkzJ,ZYkzzJJ,ZYkzJ
3DGip,3DGiipp,3DGip
nJ6mY,nJ66mYY,nJ6mY
5GoT3kN,5GoT3kN,5GoT3kN
6oGu,6oGGu--,6oGu
4ToY5,4TooY55,4ToY5
TT5n,T--5---,T5
nqWmbDm,nqWmbmm,nqWmbm
SLK4,SLKK4--,SLK4
nxO2,nxOO2--,nxO2
UiPVCL,UiPVCCL,UiPVCL
htaB7,htaBB77,htaB7
lgRaxfK,lgRaxfK,lgRaxfK
6EW3n,6EW33nn,6EW3n
rhlf,rhllf--,rhlf
eY33Jcd,RRRRRdd,Rd
kfaqU3,kfaqqU3,kfaqU3
9OBDt,9OBDDtt,9OBDt
RCFl0,RCFll00,RCFl0
q9aZs,q9aZZss,q9aZs
eMzFxR,eMzFxxR,eMzFxR
mG8HS,mG8HHSS,mG8HS
lFFx,lF-----,lF
uRFq7,uRFqq77,uRFq7
q091i,q0911ii,q091i
ZCiR,ZCii---,ZCi
8kwp,8kww---,8kw
KoKe,KKKK---,K
FrtXpIS,FrtXpIS,FrtXpIS
ycQRUh,ycQRRUh,ycQRUh
9nAsXn,9nAssXn,9nAsXn
c5R02wB,c5R02wB,c5R02wB
DUTh,DUTTh--,DUTh
ONuj,ONuuj--,ONuj
mDRL2N8,mDRL2N8,mDRL2N8
HaFMT,HaFMMTT,HaFMT
HmezTw,HmezzTw,HmezTw
qnLqk,qqLqqkk,qLqk
PTVqa,PTVqaaa,PTVqa
y4Jj,y4JJj--,y4Jj
vABA,vABBA--,vABA
Pw7A,Pw77---,Pw7
1Dhfu,1Dfffuu,1Dfu
vGaB,vGaaB--,vGaB
k79Uxg,k79UUxg,k79Uxg
80UP,80UUP--,80UP
bwN7,bwNN7--,bwN7
8Sbq5X,8Sbqq5X,8Sbq5X
3IKbhy,3IKbhhy,3IKbhy
s1ud9,s1uu999,s1u9
RBTno,RBTnnoo,RBTno
XNWcxhC,XNWcchC,XNWchC
rMdh,rMdhh--,rMdh
6XaD,6XaaD--,6XaD
PXOkNx,PXOkkNx,PXOkNx
3RJridC,3RJridC,3RJridC
kFxBL,kFxBBLL,kFxBL
OcMF,OcMMF--,OcMF
dl8stRd,dl8ssRd,dl8sRd
o0f1R7h,o0f1R7h,o0f1R7h
IwOpNtf,IwOpNtf,IwOpNtf
wm9xMb,wm9xMMb,wm9xMb
HTGe,HTGGe--,HTGe
Z60lDf,Z60lDDf,Z60lDf
boIOF7E,boIOF7E,boIOF7E
TZYc,TZYcc--,TZYc
UQRx,UQRxx--,UQRx
j8xgl,j8xxgll,j8xgl
iu3Wu,iu33Wuu,iu3Wu
fYXbf,fYXbbff,fYXbf
Kpbf,Kpbbf--,Kpbf
XV3S,XV3SS--,XV3S
Hzwz,Hzwzz--,Hzwz
JKN8lx,JKN88lx,JKN8lx
54Ffp,54Fffpp,54Ffp
quqtJv,qqqtJJv,qtJv
C9IW7Bu,C9IW7Bu,C9IW7Bu
GF4NS,GF4NNSS,GF4NS
TAZEI,TAZZEII,TAZEI
kuFa,kuFaa--,kuFa
eseYP,eseYYYP,eseYP
CzyDe,CzyDDee,CzyDe
A2EKO5O,A2EKO5O,A2EKO5O
TUJj,TUJjj--,TUJj
QdkX,QdkkX--,QdkX
VzmGuIT,VzmGuIT,VzmGuIT
MtT7U,MtT77UU,MtT7U
88oEaVk,RRRRRRR,R
odaAk,odaaAkk,odaAk
4qcGyXG,4qcGyXG,4qcGyXG
MVbXayi,MVbXayi,MVbXayi
7YrI,7YrII--,7YrI
z3e0J,z3e00JJ,z3e0J
VHuZ,VHuuZ--,VHuZ
p73v,p733v--,p73v
dVyF,dVyyF--,dVyF
RfJt04V,RfJtt4V,RfJt4V
h1Yqg,h1Yqqgg,h1Yqg
YonDr0t,YonDr0t,YonDr0t
IFgPZ,IFgPPZZ,IFgPZ
IRqR,IRqRR--,IRqR
xVpmVSS,xxxxRRS,xRS
BfMO,BfMMO--,BfMO
ZDAv,ZDAAv--,ZDAv
wG3VmCb,wG3VmCb,wG3VmCb
pc9Whv,pc9WWhv,pc9Whv
Uaj1SuL,Uaj1SuL,Uaj1SuL
c89Onbw,c89Onbw,c89Onbw
5byteF,5bytteF,5byteF
wuOAzf,wuOAAzf,wuOAzf
MscVaE,MscVaaE,MscVaE
kpc6w,kpc66ww,kpc6w
GiBb,GiBBb--,GiBb
r20N,r20NN--,r20N
0jPZ,0jPPZ--,0jPZ
6tlrL,6tlrrLL,6tlrL
9aIg,9aIIg--,9aIg
oaYdszW,oaYdszW,oaYdszW
lCicIXC,lCicIXC,lCicIXC
pXbr0eQ,pXbr0eQ,pXbr0eQ
Bzfms2,Bzfmss2,Bzfms2
QCmsl,QCmssll,QCmsl
kXLnRt,kXLnRRt,kXLnRt
pNLmA,pNLmmAA,pNLmA
ULzNGs0,ULzNGs0,ULzNGs0
0uLsM,0uLLMMM,0uLM
FdJHP2,FdJHPP2,FdJHP2
g3JKCGY,g3JKCGY,g3JKCGY
dTwsa,dTwwsaa,dTwsa
lsrGWw,lsrGGWw,lsrGWw
MH15,MH115--,MH15
BcbH4AW,BcbH4AW,BcbH4AW
eKSg,eKSS---,eKS
RGk4B9,Rkk4BB9,Rk4B9
wb477t,wb4777t,wb47t
oWqXY,oWqXXYY,oWqXY
4ag6A3,4ag6AA3,4ag6A3
8jsbX,8jsbbXX,8jsbX
kU09va,kU099va,kU09va
5B8KBP,5B8KKBP,5B8KBP
5fE2Q2,5fE22Q2,5fE2Q2
WreBJx,WreBJJx,WreBJx
jJCCU,jJCCCUU,jJCU
PrPylqT,PrPylqT,PrPylqT
njOJ,njOOJ--,njOJ
oJVN,oJVVN--,oJVN
uUPm,uUPmm--,uUPm
pGLV,pGLLV--,pGLV
qRxuo7P,qRxuo7P,qRxuo7P
1vGaSk,1vGaaSk,1vGaSk
lebdAP,lebdAAP,lebdAP
XBEc,XBEEc--,XBEc
zbRBV,zbRBBVV,zbRBV
aDPP7X,aDP-77X,aDP7X
Kw7Nny,Kw7NNny,Kw7Nny
KbNdNmA,KbNNNmA,KbNmA
41N2X,41N22XX,41N2X
3Fvuu,3Fvuuuu,3Fvu
UjK4,UjK44--,UjK4
wuHp,wuHHp--,wuHp
e9PiI,e9PiiII,e9PiI
OsCloz6,OsCloz6,OsCloz6
47yK9K,47yKKKK,47yK
7fK7xJ,7fK7xxJ,7fK7xJ
FU3HE,FU3HHEE,FU3HE
EeNJ,EeNJJ--,EeNJ
l8a4xSt,l8aaxSS,l8axS
9zKIwVn,9zKIwVn,9zKIwVn
zwOjltJ,zwOjltJ,zwOjltJ
E3Kc,E3Kcc--,E3Kc
Q7dhu,Q7dhhuu,Q7dhu
Bm2EaP,Bm2EaaP,Bm2EaP
inKA5D,inKA55D,inKA5D
rYnsGXe,rYnsGXe,rYnsGXe
hg46,hg446--,hg46
kwQhN,kwQhhNN,kwQhN
Ahv40,Ahv4400,Ahv40
NwjnZ,NwjnnZZ,NwjnZ
DjNt,DjjNt--,DjNt
slhn,slhnn--,slhn
p5BX8C,p5BX88C,p5BX8C
3UDTAHR,3UDTAHR,3UDTAHR
wkt2rc,wkt22rc,wkt2rc
mmPzva,mmmzzva,mzva
EBT8,EBT88--,EBT8
RsCu,RsCCu--,RsCu
zVJYj,zVJJYjj,zVJYj
DUBs,DUBss--,DUBs
ZLEbHt,ZLEbbHt,ZLEbHt
7Aun6i,7Aunn6i,7Aun6i
6mzs,6mzss--,6mzs
4RRbfrX,4RRRRRR,4R
geboVqG,geboVqG,geboVqG
b1nI,b1nnI--,b1nI
2fah,2faah--,2fah
wpS6AU,wpS6AAU,wpS6AU
J81Ne3,J81NNe3,J81Ne3
cOac,cOaac--,cOac
uLbWgq,uLbWggq,uLbWgq
wh0LZq6,wh0LZq6,wh0LZq6
LH9D,LH99D--,LH9D
WU7QDG,WU7QDDG,WU7QDG
FYBN,FYBBN--,FYBN
ZtDeu,ZtDDeuu,ZtDeu
Gyl2NQE,Gyl2NQE,Gyl2NQE
Jbg2EC,Jbg2EEC,Jbg2EC
mphPZ,mphhPZZ,mphPZ
vZtUd,vZtUUdd,vZtUd
SvmGe,SvmGGee,SvmGe
efRN,efRRN--,efRN
yeHjjj,yyRRRRR,yR
TWJE6L,TWJE66L,TWJE6L
R6kqV,R6kqqVV,R6kqV
r1nTX0,r1nTXX0,r1nTX0
XUVA3,XUVAA33,XUVA3
wueuzB,wuuuuzB,wuzB
S33p,S333---,S3
xDBQPJ,xDBQQPJ,xDBQPJ
CBVff,CBVf-ff,CBVff
KLFS,KLFFS--,KLFS
BBcb,BBccb--,Bcb
DJOKJP,DJOKJJP,DJOKJP
HDmW,HDmWW--,HDmW
kCvt,kCvvt--,kCvt
l40FM,l40FFMM,l40FM
RQ7C,RQ77C--,RQ7C
zYVp,zYVpp--,zYVp
M2HJ,M2HJJ--,M2HJ
B2mtl1,B2mttl1,B2mtl1
lvi9Pno,lvi9Pno,lvi9Pno
l1i38,l1i3388,l1i38
